group,subgroup,filename,fwhm_L,fwhm_C,fwhm_R,sharpness,flatness
test,Spotty,240828B_226.png,259.04,0.0,692.76,1000000000.0,0.453
test,Spotty,240828B_315.png,409.17,237.9,368.92,0.42,0.381
test,Spotty,240828B_347.png,225.7,424.61,353.14,0.24,0.484
test,Spotty,240828B_406.png,168.6,0.0,248.11,1000000000.0,0.353
test,Spotty,240828B_527.png,176.31,0.0,354.66,1000000000.0,0.461
test,Spotty,240828B_583.png,124.45,0.0,60.82,1000000000.0,0.406
test,Spotty,240828B_615.png,144.29,604.64,133.27,0.17,0.0
test,Spotty,240828B_910.png,288.91,0.0,0.0,1000000000.0,0.286
test,Spotty,240828B_927.png,133.45,0.0,209.24,1000000000.0,0.284
test,Spotty,240828B_956.png,129.39,0.0,116.46,1000000000.0,0.076
test,Spotty,240828_778.png,257.21,0.0,94.61,1000000000.0,0.0
test,Spotty,240905B_GeTe_MnTe_30min_205.png,147.56,0.0,133.64,1000000000.0,0.114
test,Spotty,240905B_GeTe_MnTe_30min_641.png,42.07,0.0,96.71,1000000000.0,0.62
test,Spotty,240905B_GeTe_MnTe_30min_727.png,63.91,0.0,15.73,1000000000.0,0.0
