filename,fwhm_L,fwhm_C,fwhm_R
10.3.png,51.20324355151071,171.03017355288387,0.0
11.3.png,36.12262188277799,65.7892231335255,30.542805938967497
13.3.png,39.97811005299138,69.23495818829682,39.09692338287971
14.3.png,49.02510130947759,50.292163751427964,0.0
15.3.png,89.2930165836784,0.0,82.30214745530763
16.3.png,34.27010370806712,57.97259511108081,34.22585746167287
17.3.png,35.14587133127645,68.29889345025288,35.73456935250076
18.3.png,32.46790331315084,43.4290016603277,33.25756832240331
19.3.png,35.245652534216,73.3676058874535,35.00250133992517
20.3.png,38.57805961469845,70.9219007020427,36.352638264162984
21.3.png,38.395743267754234,86.1716609744536,36.510041997784356
22.3.png,32.483226782240365,56.52378672697033,32.72868947112529
23.3.png,32.3343389327298,57.73323228729204,32.46244779028577
24.3.png,66.62251367108625,31812.792283254363,102.64655084147452
25.3.png,42.23452851321495,88.56396945149073,48.02280265601163
26.3.png,39.0773535885478,65.95617970281134,46.540101555103085
28.3.png,42.13451550676237,82.05391570600123,48.825487475179074
31.3.png,38.76075842719649,84.79679445271398,47.74310495332411
